65,TEXT_JOBXBM132_05495_LOOSEFROX_000_043,总之，我们就一起在这一带边散步边聊天，<hex:02100103>想聊什么都可以，走吧哥布！
66,TEXT_JOBXBM132_05495_Q1_000_000,要做什么？
67,TEXT_JOBXBM132_05495_A1_000_001,对话
68,TEXT_JOBXBM132_05495_A1_000_002,解除同行状态
69,TEXT_JOBXBM132_05495_A1_000_003,取消
70,TEXT_JOBXBM132_05495_LOOSEFROX_000_045,呼哧……呼哧……<hex:02100103>我、我可不是为了你才做这些事的，<hex:02100103>是为了老师才做的哥布！
71,TEXT_JOBXBM132_05495_SYSTEM_000_046,确定要解除同行状态吗？
72,TEXT_JOBXBM132_05495_LOOSEFROX_000_047,呼哧……呼哧……<hex:02100103>你有事要做哥布？<hex:02100103>那我去练兵所附近等着，快点办完事回来吧哥布。
73,TEXT_JOBXBM132_05495_LOOSEFROX_000_048,呼哧……呼哧……<hex:02100103>你回来了，那我们继续吧哥布！
74,TEXT_JOBXBM132_05495_LOOSEFROX_000_050,呼哧……呼哧……<hex:02100103>斗兽奇弈中以幻体形式出现的魔兽，<hex:02100103>都被特意强化了长处，同时短处也更突出。
75,TEXT_JOBXBM132_05495_LOOSEFROX_000_051,嗯……既然这样，<hex:02100103>那识破对手的弱点这一步就变得更重要了！
76,TEXT_JOBXBM132_05495_SYSTEM_100_051,斗兽奇弈中的魔兽各有弱点，<hex:02100103>有火、风、雷、水、冰、土、斩击、突刺、打击九种属性。
77,TEXT_JOBXBM132_05495_SYSTEM_110_051,此外，还有物理防御力和魔法防御力两种特殊弱点，<hex:02100103>对战时，可以查看对手的弱点属性，<hex:02100103>再进行针对性攻击，创造有利局面。
78,TEXT_JOBXBM132_05495_LOOSEFROX_000_052,（★未使用／削除予定★）
79,TEXT_JOBXBM132_05495_LOOSEFROX_000_053,栖息在这一带的树精种擅长魔法攻击，<hex:02100103>对付魔法防御低的对手时，带上它就很合适。
80,TEXT_JOBXBM132_05495_LOOSEFROX_000_054,虽然和自己喜欢的搭档一同作战也不错，<hex:02100103>但既然特意提示了斗兽奇弈会突出魔兽的长处和短处，<hex:02100103>那肯定是有它的道理，还是顺着来比较好哥布。
81,TEXT_JOBXBM132_05495_LOOSEFROX_000_055,我们再往前走走吧哥布！
82,TEXT_JOBXBM132_05495_LOOSEFROX_000_060,不过，需要注意的也不止属性这一点哥布。<hex:02100103>活用一些可以改变身体状态的招式，也能有效打击敌人哥布！<hex:02100103>像是迟缓、加重、石化或者麻痹之类的哥布……
83,TEXT_JOBXBM132_05495_LOOSEFROX_000_061,比如我最好的搭档沙地巨虫“小地豆”，<hex:02100103>就特别害怕炸弹爆炸之类的音波冲击哥布。
84,TEXT_JOBXBM132_05495_LOOSEFROX_000_062,在面对那些势均力敌的对手时，<hex:02100103>在这种细节上下工夫寻找破绽尤为重要哥布。
85,TEXT_JOBXBM132_05495_SYSTEM_100_062,哪种异常状态能够生效因魔兽而异。<hex:02100103>活用这些异常状态，可以在对战中创造有利局面。
86,TEXT_JOBXBM132_05495_LOOSEFROX_000_063,综上所述，你的驯兽越多，<hex:02100103>能运用的战术就越丰富。
87,TEXT_JOBXBM132_05495_LOOSEFROX_000_064,（★未使用／削除予定★）
88,TEXT_JOBXBM132_05495_LOOSEFROX_000_065,啊！你、你快忘掉小地豆的弱点哥布！<hex:02100103>我们继续走吧哥布！
89,TEXT_JOBXBM132_05495_LOOSEFROX_000_066,呼哧……怎么一不小心就说了这么多呢哥布。<hex:02100103>我们以后说不定也有机会对战呢，<hex:02100103>你赶紧把我刚刚说的小地豆的事忘掉啊哥布！
90,TEXT_JOBXBM132_05495_LOOSEFROX_000_070,呼哧……呼哧……<hex:02100103>果然做不熟悉的事就是累……<hex:02100103>我们先去那边休息一会吧哥布。
91,TEXT_JOBXBM132_05495_LOOSEFROX_000_071,呼……体力真是大不如前了哥布。<hex:02100103>我以前也是个冒险家呢哥布！
92,TEXT_JOBXBM132_05495_LOOSEFROX_000_072,我会用好几种武器，剑啊锤子啊之类的自不必说，<hex:02100103>连炸弹也用得得心应手哥布！
93,TEXT_JOBXBM132_05495_LOOSEFROX_000_073,说起来，你身上也带着好几种武器呢哥布。
94,TEXT_JOBXBM132_05495_LOOSEFROX_000_074,我一直很喜欢去了解生物的生态哥布。
95,TEXT_JOBXBM132_05495_LOOSEFROX_000_075,某次去观察自然时太过投入，<hex:02100103>不小心在沙地巨虫的巢穴迷路了哥布……<hex:02100103>那时是老师出现救了我哥布。
96,TEXT_JOBXBM132_05495_LOOSEFROX_000_076,那是我头一回见到魔兽与人类并肩战斗，<hex:02100103>别提有多震撼了哥布。
97,TEXT_JOBXBM132_05495_LOOSEFROX_000_077,事后，我就立刻让老师收我做学生，<hex:02100103>而我第一次抓到的魔兽，就是我最好的搭档小地豆哥布。
98,TEXT_JOBXBM132_05495_LOOSEFROX_000_078,那一天的光景是我无论如何都无法忘记的回忆哥布。<hex:02100103>向我敞开心扉的魔兽，还有温柔夸奖我的老师……
99,TEXT_JOBXBM132_05495_LOOSEFROX_000_079,别误会，我可不是对老师有别的意思哥布！
100,TEXT_JOBXBM132_05495_LOOSEFROX_000_080,总之，我和魔兽伙伴之间的感情，<hex:02100103>也绝对不会输给你和你的搭档的哥布！<hex:02100103>实、实力上应该也是我更……
101,TEXT_JOBXBM132_05495_LOOSEFROX_000_081,……对了，干脆就趁这个机会和我对战练练手吧哥布！
102,TEXT_JOBXBM132_05495_LOOSEFROX_000_082,我刚刚把小地豆的弱点暴露给了你，<hex:02100103>这回就让别的搭档上场吧哥布。
103,TEXT_JOBXBM132_05495_LOOSEFROX_000_083,不过我也可以给你一点点小提示，<hex:02100103>我的火蛟“小辣椒”很擅长用火哦哥布。
104,TEXT_JOBXBM132_05495_LOOSEFROX_000_084,来，我们比一场哥布！
105,TEXT_JOBXBM132_05495_LOOSEFROX_000_085,呼哧……呼哧……<hex:02100103>我的火蛟“小辣椒”很擅长用火哦，<hex:02100103>你好好想办法怎么应对吧哥布！
106,TEXT_JOBXBM132_05495_LOOSEFROX_000_100,呼哧……呼哧……<hex:02100103>竟然击败了我的小辣椒，挺厉害的嘛哥布！
107,TEXT_JOBXBM132_05495_LOOSEFROX_000_101,不过这还不是我的全部实力哥布，<hex:02100103>小地豆，来……嗯？
108,TEXT_JOBXBM132_05495_LOOSEFROX_000_102,劳妲？！
109,TEXT_JOBXBM132_05495_LOOSEFROX_000_103,你来做什么哥布？<hex:02100103>有我在，休想对<hex:022903EB0203>出手哥布！
110,TEXT_JOBXBM132_05495_LAUDA_000_104,不必这么激动。<hex:02100103>渴望与驯兽师战斗的并不是我，<hex:02100103>而是我的主人……
111,TEXT_JOBXBM132_05495_LAUDA_000_105,我无法做出违背主人意愿的事情。<hex:02100103>不过，我也并非完全没有个人想法。
112,TEXT_JOBXBM132_05495_LOOSEFROX_000_106,你想说什么哥布？
113,TEXT_JOBXBM132_05495_LAUDA_100_106,……简而言之，<hex:02100103>我对你们科纳格流派的战斗方式产生兴趣了。
114,TEXT_JOBXBM132_05495_LOOSEFROX_000_107,重视与魔兽培养感情的科纳格流派，<hex:02100103>与杀掉魔兽封存其灵魂的露流派截然不同哥布……
115,TEXT_JOBXBM132_05495_LOOSEFROX_000_108,对和自己完全不同的流派感到好奇倒是可以理解哥布……
116,TEXT_JOBXBM132_05495_LAUDA_000_109,魔兽就是魔兽，攻击人类是它们的本能……<hex:02100103>无论多么心意相通，也无法完全信任。<hex:02100103>所以我们才必须控制魔兽的灵魂。
117,TEXT_JOBXBM132_05495_LAUDA_000_110,我从没想过魔兽会有感情，<hex:02100103>也很难相信这种事情……
118,TEXT_JOBXBM132_05495_Q2_000_000,要说什么？
119,TEXT_JOBXBM132_05495_A2_000_001,你感受不到加特勒的愤怒吗？
120,TEXT_JOBXBM132_05495_A2_000_002,我以前也这么想
121,TEXT_JOBXBM132_05495_A2_000_003,魔兽很可爱
122,TEXT_JOBXBM132_05495_LAUDA_000_111,主人的愤怒……并非生来如此，<hex:02100103>难道我一直都错了……
123,TEXT_JOBXBM132_05495_LAUDA_100_111,以前……<hex:02100103>也就是说，你现在相信魔兽有感情了。
124,TEXT_JOBXBM132_05495_LAUDA_110_111,可爱……吗？
125,TEXT_JOBXBM132_05495_LAUDA_120_111,魔兽很可爱……<hex:02100103>还有人这样想啊……
126,TEXT_JOBXBM132_05495_LOOSEFROX_000_112,我不会全盘否定露流派哥布。<hex:02100103>讨伐那些危害人类的魔兽我没有意见，<hex:02100103>弱肉强食也是自然的法则哥布。
127,TEXT_JOBXBM132_05495_LOOSEFROX_000_113,但露流派追求的终点……控制魔兽灵魂这件事，<hex:02100103>我无论如何都无法认同哥布。
128,TEXT_JOBXBM132_05495_LAUDA_000_114,难道我们露流派真的走错了路……<hex:02100103>那我也不该再继续由主人控制……
129,TEXT_JOBXBM132_05495_LAUDA_000_115,打扰你们练手，真是不好意思。<hex:02100103>衷心期待你参加下次斗兽奇弈。
130,TEXT_JOBXBM132_05495_LOOSEFROX_000_116,她走了……
131,TEXT_JOBXBM132_05495_LOOSEFROX_000_117,我们差不多也该回去找老师了，<hex:02100103>这次散步大学习也到此结束了哥布！
132,TEXT_JOBXBM132_05495_LOOSEFROX_000_120,呼哧……呼哧……<hex:02100103>有没有放松一点哥布？
133,TEXT_JOBXBM132_05495_JYHUHTIA_000_130,回来了？辛苦了。<hex:02100103>路斯福洛克斯把事情都告诉我了。
134,TEXT_JOBXBM132_05495_JYHUHTIA_000_131,不同流派之间想法存在差异很正常，<hex:02100103>你也不用想太多。<hex:02100103>努力在斗兽奇弈中取胜，证明你选择的道路就行。
135,TEXT_JOBXBM132_05495_JYHUHTIA_000_132,这样说不定还能解放被加特勒控制的劳妲。
136,TEXT_JOBXBM132_05495_JYHUHTIA_000_133,总之，继续特训吧。<hex:02100103>一步步脚踏实地增强自己的力量，学习更多的知识吧。
